"MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","CARRIER","TAIL_NUM","FL_NUM","ORIGIN","DEST","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
3,13,7,2016-03-13,"AA","N828AW","1949","DSM","PHX","1750","1746",-4.00,0.00,"1904","1842",-22.00,0.00,0.00,"",194.00,176.00,161.00,1150.00,,,,,,
3,13,7,2016-03-13,"AA","N753US","1950","CLT","DCA","1320","1317",-3.00,0.00,"1444","1451",7.00,7.00,0.00,"",84.00,94.00,56.00,331.00,,,,,,
3,13,7,2016-03-13,"AA","N753US","1950","ORF","CLT","1104","1053",-11.00,0.00,"1230","1234",4.00,4.00,0.00,"",86.00,101.00,59.00,290.00,,,,,,
3,13,7,2016-03-13,"AA","N161UW","1951","PHX","DEN","1220","1218",-2.00,0.00,"1509","1504",-5.00,0.00,0.00,"",109.00,106.00,78.00,602.00,,,,,,
3,13,7,2016-03-13,"AA","N741UW","1952","CLT","BUF","2225","2215",-10.00,0.00,"0006","2339",-27.00,0.00,0.00,"",101.00,84.00,69.00,546.00,,,,,,
3,13,7,2016-03-13,"AA","N741UW","1952","SAT","CLT","1740","1734",-6.00,0.00,"2117","2123",6.00,6.00,0.00,"",157.00,169.00,128.00,1095.00,,,,,,
3,13,7,2016-03-13,"AA","N537UW","1953","TPA","PHL","1210","1209",-1.00,0.00,"1438","1429",-9.00,0.00,0.00,"",148.00,140.00,119.00,920.00,,,,,,
3,13,7,2016-03-13,"AA","N553UW","1954","CLT","LGA","2040","2059",19.00,19.00,"2227","2237",10.00,10.00,0.00,"",107.00,98.00,77.00,544.00,,,,,,
3,13,7,2016-03-13,"AA","N944UW","1955","PHL","TPA","1350","1342",-8.00,0.00,"1636","1617",-19.00,0.00,0.00,"",166.00,155.00,139.00,920.00,,,,,,
3,13,7,2016-03-13,"AA","N944UW","1955","TPA","PHL","1725","1720",-5.00,0.00,"1945","1958",13.00,13.00,0.00,"",140.00,158.00,125.00,920.00,,,,,,
3,13,7,2016-03-13,"AA","N741UW","1957","CLT","MSY","0915","0912",-3.00,0.00,"1017","1001",-16.00,0.00,0.00,"",122.00,109.00,96.00,651.00,,,,,,
3,13,7,2016-03-13,"AA","N741UW","1957","RIC","CLT","0645","0639",-6.00,0.00,"0811","0754",-17.00,0.00,0.00,"",86.00,75.00,47.00,257.00,,,,,,
